Season,Name,Tm,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2023,"Corey Seager","TEX",157,0,0,0,1,0.03821656,0.203821656,0,0,0.21656051,0.40127389,0.38216561,0.07006369,0.40127389,0.52866242,13624
2023,"Tyrone Taylor","MIL",78,0,0,0,1,0.115384615,0.128205128,0,0,0.34615385,0.34615385,0.30769231,0.17948718,0.43589744,0.38461538,13675
2023,"Jacob Stallings","MIA",64,0,0,0,1,0.046875,0.046875,0,0,0.140625,0.359375,0.5,0.09375,0.484375,0.421875,13723
2023,"Chris Taylor","LAD",95,0,0,0,1,0.052631578,0.157894736,0,0,0.26315789,0.31578947,0.42105263,0.14736842,0.54736842,0.30526316,13757
2023,"Joey Wendle","MIA",61,0,0,0,1,0.049180327,0.032786885,0,0,0.14754098,0.3442623,0.50819672,0.09836066,0.45901639,0.44262295,13853
2023,"Eric Haase","2 Tms",72,0,0,0,1,0.152777777,0.055555555,0,0,0.23611111,0.36111111,0.40277778,0.29166667,0.44444444,0.26388889,14111
2023,"Joey Gallo","MIN",81,0,0,0,1,0.12345679,0.259259259,0,0,0.49382716,0.19753086,0.30864198,0.17283951,0.39506173,0.43209877,14128
2023,"Daniel Vogelbach","NYM",75,0,0,0,1,0.106666666,0.173333333,0,0,0.26666667,0.36,0.37333333,0.21333333,0.37333333,0.41333333,14130
2023,"Byron Buxton","MIN",108,0,0,0,1,0.157407407,0.157407407,0,0,0.35185185,0.37037037,0.27777778,0.23148148,0.42592593,0.34259259,14161
2023,"Carlos Correa","MIN",131,0,0,0,1,0.106870229,0.122137404,0,0,0.25954198,0.32824427,0.41221374,0.20610687,0.45801527,0.33587786,14162
2023,"Jorge Soler","MIA",170,0,0,0,1,0.076470588,0.211764705,0,0,0.27058824,0.42352941,0.30588235,0.15882353,0.4,0.44117647,14221
2023,"Mitch Haniger","SFG",64,0,0,0,1,0.046875,0.09375,0,0,0.1875,0.375,0.4375,0.109375,0.5,0.390625,14274
2023,"Matt Olson","ATL",194,0,0,0,1,0.030927835,0.268041237,0,0,0.26804124,0.39690722,0.33505155,0.12886598,0.41237113,0.45876289,14344
2023,"Joey Meneses","WSN",151,0,0,0,1,0.125827814,0.086092715,0,0,0.24503311,0.29801325,0.45695364,0.25165563,0.43708609,0.31125828,14366
2023,"Harold Ramirez","TBR",94,0,0,0,1,0.09574468,0.127659574,0,0,0.20212766,0.30851064,0.4893617,0.19148936,0.4787234,0.32978723,14387
2023,"Anthony Santander","BAL",220,0,0,0,1,0.181818181,0.122727272,0,0,0.32727273,0.39090909,0.28181818,0.27727273,0.38636364,0.33636364,14551
2023,"Manuel Margot","TBR",89,0,0,0,1,0.11235955,0.04494382,0,0,0.20224719,0.31460674,0.48314607,0.25842697,0.51685393,0.2247191,14712
2023,"Kyle Farmer","MIN",92,0,0,0,1,0.097826086,0.119565217,0,0,0.27173913,0.32608696,0.40217391,0.2173913,0.34782609,0.43478261,14813
2023,"Mike Yastrzemski","SFG",105,0,0,0,1,0.133333333,0.142857142,0,0,0.31428571,0.37142857,0.31428571,0.19047619,0.41904762,0.39047619,14854
2023,"Tony Kemp","OAK",107,0,0,0,1,0.074766355,0.046728971,0,0,0.29906542,0.42056075,0.28037383,0.13084112,0.57009346,0.29906542,14894
2023,"Ryan McMahon","COL",120,0,0,0,1,0.016666666,0.191666666,0,0,0.16666667,0.4,0.43333333,0.03333333,0.43333333,0.53333333,15112
2023,"Mitch Garver","TEX",103,0,0,0,1,0.116504854,0.174757281,0,0,0.41747573,0.33980583,0.24271845,0.18446602,0.50485437,0.31067961,15161
2023,"Tim Anderson","CHW",63,0,0,0,1,0.031746031,0.015873015,0,0,0.04761905,0.36507937,0.58730159,0.0952381,0.61904762,0.28571429,15172
2023,"Jake Bauers","NYY",64,0,0,0,1,0.046875,0.1875,0,0,0.15625,0.421875,0.421875,0.140625,0.359375,0.5,15194
2023,"Adam Frazier","BAL",127,0,0,0,1,0.094488188,0.094488188,0,0,0.26771654,0.37007874,0.36220472,0.23622047,0.51181102,0.2519685,15223
2023,"Mike Tauchman","CHC",74,0,0,0,1,0.054054054,0.108108108,0,0,0.13513514,0.36486486,0.5,0.10810811,0.52702703,0.36486486,15274
2023,"Garrett Cooper","2 Tms",95,0,0,0,1,0.052631578,0.168421052,0,0,0.14736842,0.37894737,0.47368421,0.09473684,0.43157895,0.47368421,15279
2023,"Jeff McNeil","NYM",198,0,0,0,1,0.141414141,0.05050505,0,0,0.26262626,0.35353535,0.38383838,0.26262626,0.51010101,0.22727273,15362
2023,"Kris Bryant","COL",90,0,0,0,1,0.077777777,0.111111111,0,0,0.26666667,0.43333333,0.3,0.14444444,0.42222222,0.43333333,15429
2023,"Hunter Renfroe","2 Tms",151,0,0,0,1,0.185430463,0.125827814,0,0,0.39072848,0.31125828,0.29801325,0.25165563,0.45033113,0.29801325,15464
2023,"J.P. Crawford","SEA",154,0,0,0,1,0.11038961,0.11038961,0,0,0.29220779,0.38311688,0.32467532,0.26623377,0.48051948,0.25324675,15491
2023,"Amed Rosario","2 Tms",130,0,0,0,1,0.084615384,0.046153846,0,0,0.13846154,0.37692308,0.48461538,0.21538462,0.46153846,0.32307692,15518
2023,"Mike Ford","SEA",69,0,0,0,1,0.20289855,0.231884057,0,0,0.44927536,0.27536232,0.27536232,0.27536232,0.36231884,0.36231884,15585
